COD_FACTURA,DATE_FACTURA,DESC_PRODUCTE,COD_PROVEIDOR,F_QUANTITAT,F_IVA,F_PREU_SENSE_IVA_UNITAT,F_PVP_UNITAT,F_TOTAL_SENSE_IVA,F_PVP_TOTAL
FRA 318,2023-05-02,MOBLE PICA BANY,VARIS,1,0.21,4.74,6.0,4.74,6.0
FRA 318,2023-05-02,1/2 BANYERA DE PORCELLANA,STREETS AHEAD,1,0.21,3.08,3.9,3.08,3.9
FRA 318,2023-05-02,DEV. PAPERS VARIS,CREAL,1,0.21,-18.17,-23.0,-18.17,-23.0
FRA 317,2023-04-28,2549 TRANSFORMADOR,CREAL,1,0.21,28.44,36.0,28.44,36.0
FRA 317,2023-04-28,2594 REGLETA DE 12,CREAL,1,0.21,11.22,14.2,11.22,14.2
FRA 317,2023-04-28,FOGONS CUINA,ALLAU,1,0.21,4.74,6.0,4.74,6.0
FRA 317,2023-04-28,24932 LAMP. SOSTRE,CREAL,1,0.21,8.14,10.3,8.14,10.3
FRA 317,2023-04-28,24921 LAMP. PARET,CREAL,2,0.21,9.24,11.7,18.49,23.4
FRA 317,2023-04-28,2428 LAMP. SOSTRE,CREAL,1,0.21,7.9,10.0,7.9,10.0
FRA 317,2023-04-28,24939 LAMP. TAULA,CREAL,1,0.21,10.74,13.6,10.74,13.6
FRA 317,2023-04-28,DIY605 POM PORTA PRAL.,STREETS AHEAD,1,0.21,2.53,3.2,2.53,3.2
FRA 316,2023-04-28,CMP 01,ALLAU,1,0.21,45.82,58.0,45.82,58.0
FRA 315,2023-04-28,2549 TRANSFORMADOR,CREAL,1,0.21,28.44,36.0,28.44,36.0
FRA 315,2023-04-28,2594 REGLETA DE 12,CREAL,1,0.21,11.22,14.2,11.22,14.2
FRA 315,2023-04-28,2445 LAMP. SOSTRE,CREAL,1,0.21,21.41,27.1,21.41,27.1
FRA 315,2023-04-28,2792 CONJ. BANY FLORS ROSES,CREAL,1,0.21,26.86,34.0,26.86,34.0
FRA 314,2023-04-27,PECES EXTRES ARC,ALLAU,1,0.21,11.85,15.0,11.85,15.0
FRA 314,2023-04-27,AMERICANA,CHOPO,2,0.21,3.63,4.6,7.27,9.2
FRA 314,2023-04-27,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 313,2023-04-27,3 ANGELETS,VEGA,1,0.21,2.77,3.5,2.77,3.5
FRA 313,2023-04-27,BOSSA ,BOSSES,1,0.21,0.2,0.25,0.2,0.25
FRA 313,2023-04-27,797352 AIXETES (X4),CREAL,1,0.21,2.92,3.7,2.92,3.7
FRA 313,2023-04-27,2592 PILA JARDÍ,STREETS AHEAD,1,0.21,1.42,1.8,1.42,1.8
FRA 313,2023-04-27,HIVERNACLE XL,ALLAU,1,0.21,107.44,136.0,107.44,136.0
FRA 312,2023-04-27,REGLETA DE 6,CREAL,1,0.21,5.61,7.1,5.61,7.1
FRA 312,2023-04-27,2549 TRANSFORMADOR,CREAL,1,0.21,28.44,36.0,28.44,36.0
FRA 311,2023-04-26,STICKER POINT,VARIS,3,0.21,1.5,1.9,4.5,5.699999999999999
FRA 310,2023-04-26,HAI 02,ALLAU,1,0.21,7.86,9.95,7.86,9.95
FRA 310,2023-04-26,78091 URNA JARDÍN,CREAL,1,0.21,2.37,3.0,2.37,3.0
FRA 309,2023-04-26,BOLSA  ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 309,2023-04-26,5106 TABURETE,STREETS AHEAD,1,0.21,9.48,12.0,9.48,12.0
FRA 309,2023-04-26,MSC 19,ALLAU,1,0.21,1.58,2.0,1.58,2.0
FRA 309,2023-04-26,79789 GANCHOS,CREAL,1,0.21,4.27,5.4,4.27,5.4
FRA 309,2023-04-26,4930 PERRO,STREETS AHEAD,1,0.21,2.92,3.7,2.92,3.7
FRA 309,2023-04-26,72454 PAELLA,CREAL,1,0.21,1.5,1.9,1.5,1.9
FRA 309,2023-04-26,72455 OLLA,CREAL,1,0.21,1.66,2.1,1.66,2.1
FRA 309,2023-04-26,D1715 CAZOS (X3),STREETS AHEAD,1,0.21,2.69,3.4,2.69,3.4
FRA 309,2023-04-26,2 JARRONES,VEGA,1,0.21,1.9,2.4,1.9,2.4
FRA 309,2023-04-26,23446 CAMBIADOR,VEGA,1,0.21,8.69,11.0,8.69,11.0
FRA 308,2023-04-26,75310 TEST PARET,CREAL,1,0.21,1.26,1.6,1.26,1.6
FRA 308,2023-04-26,PARAIGÜES,CREAL,1,0.21,2.13,2.7,2.13,2.7
FRA 308,2023-04-26,2213 FANAL LED,CREAL,1,0.21,17.14,21.7,17.14,21.7
FRA 308,2023-04-26,DE024 RECANVI BOMB.,CREAL,1,0.21,3.0,3.8,3.0,3.8
FRA 307,2023-04-25,ANGLE (LLISTÓ),AZTEC,1,0.21,3.91,4.95,3.91,4.95
FRA 307,2023-04-25,TACKY GLUE,CHOPO,1,0.21,4.74,6.0,4.74,6.0
FRA 307,2023-04-25,FLOWER SOFT,VARIS,1,0.21,4.11,5.2,4.11,5.2
FRA 306,2023-04-25,TACKY GLUE,CHOPO,1,0.21,4.74,6.0,4.74,6.0
FRA 306,2023-04-25,MSC 014,ALLAU,2,0.21,7.86,9.95,15.72,19.9
FRA 305,2023-04-25,PECES EXTRES,ALLAU,1,0.21,11.85,15.0,11.85,15.0
FRA 305,2023-04-25,POM PORTA,STREETS AHEAD,2,0.21,0.71,0.9,1.42,1.8
FRA 305,2023-04-25,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 304,2023-04-25,GUITARRA ESPAÑOLA,STREETS AHEAD,1,0.21,14.62,18.5,14.62,18.5
FRA 303,2023-04-24,BOSSA ,BOSSES,1,0.21,0.24,0.3,0.24,0.3
FRA 303,2023-04-24,DIY 757 C,STREETS AHEAD,2,0.21,2.37,3.0,4.74,6.0
FRA 303,2023-04-24,DIY 766 A,STREETS AHEAD,4,0.21,3.95,5.0,15.8,20.0
FRA 303,2023-04-24,DIY 792 B,STREETS AHEAD,1,0.21,5.06,6.4,5.06,6.4
FRA 303,2023-04-24,DIY 763 A,STREETS AHEAD,2,0.21,5.06,6.4,10.11,12.8
FRA 303,2023-04-24,DIY 775 B,STREETS AHEAD,2,0.21,4.03,5.1,8.06,10.2
FRA 303,2023-04-24,DIY 353 C,STREETS AHEAD,1,0.21,2.37,3.0,2.37,3.0
FRA 302,2023-04-24,TROMPETA,STREETS AHEAD,1,0.21,14.22,18.0,14.22,18.0
FRA 301,2023-04-24,BOSSA ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 301,2023-04-24,OLLA FANG,VARIS,1,0.21,1.58,2.0,1.58,2.0
FRA 301,2023-04-24,71342 BOTES AIGUA,CREAL,1,0.21,2.84,3.6,2.84,3.6
FRA 301,2023-04-24,70070 CAIXA PLANTAS,CREAL,1,0.21,2.37,3.0,2.37,3.0
FRA 301,2023-04-24,CARRET OCCRE,VARIS,1,0.21,4.5,5.7,4.5,5.7
FRA 300,2023-04-21,GUITARRA ROCK,STREETS AHEAD,1,0.21,12.64,16.0,12.64,16.0
FRA 299,2023-04-21,XMS 09,ALLAU,1,0.21,6.28,7.95,6.28,7.95
FRA 299,2023-04-21,XMS 04,ALLAU,1,0.21,10.23,12.95,10.23,12.95
FRA 298,2023-04-21,CISTELLA ROSES,ANA,1,0.21,6.24,7.9,6.24,7.9
FRA 297,2023-04-20,DIY692 TIRADORES,STREETS AHEAD,3,0.21,1.58,2.0,4.74,6.0
FRA 297,2023-04-20,BINDELS,BINDELS,4,0.21,0.32,0.4,1.26,1.6
FRA 297,2023-04-20,APARADOR COCINA,ALLAU,1,0.21,17.38,22.0,17.38,22.0
FRA 296,2023-04-20,24982 RECANVI BOMB.,CREAL,1,0.21,3.71,4.7,3.71,4.7
FRA 296,2023-04-20,2535 BOMB + ENDOLL,CREAL,1,0.21,7.03,8.9,7.03,8.9
FRA 295,2023-04-19,CISTELLA ROSES,ANA,1,0.21,6.24,7.9,6.24,7.9
FRA 294,2023-04-19,CASA DE NINES DECORADA,J.L. CASES,1,0.21,1165.25,1475.0,1165.25,1475.0
FRA 293,2023-04-19,IR 7003,IRIGINALS,1,0.21,12.44,15.75,12.44,15.75
FRA 293,2023-04-19,2115,ALLAU,1,0.21,6.4,8.1,6.4,8.1
FRA 293,2023-04-19,2112,ALLAU,2,0.21,5.49,6.95,10.98,13.9
FRA 293,2023-04-19,2121,ALLAU,2,0.21,14.18,17.95,28.36,35.9
FRA 293,2023-04-19,2109,ALLAU,1,0.21,8.65,10.95,8.65,10.95
FRA 293,2023-04-19,2105,ALLAU,1,0.21,35.51,44.95,35.51,44.95
FRA 293,2023-04-19,2119,ALLAU,1,0.21,31.76,40.2,31.76,40.2
FRA 293,2023-04-19,MOQUETA GRANATE,STREETS AHEAD,1,0.21,3.87,4.9,3.87,4.9
FRA 293,2023-04-19,79738 FRONTISES,CREAL,2,0.21,4.98,6.3,9.95,12.6
FRA 293,2023-04-19,TORRE FORNS,STREETS AHEAD,1,0.21,23.38,29.6,23.38,29.6
FRA 293,2023-04-19,TAKY GLUE RÀPIDA,CHOPO,1,0.21,4.74,6.0,4.74,6.0
FRA 293,2023-04-19,TAKY GLUE XL,CHOPO,1,0.21,7.35,9.3,7.35,9.3
FRA 292,2023-04-19,ALFOMBRA,J.L. CASES,1,0.21,9.48,12.0,9.48,12.0
FRA 292,2023-04-19,BUTACA ÀVIA,J.L. CASES,1,0.21,47.4,60.0,47.4,60.0
FRA 292,2023-04-19,ÀVIA,J.L. CASES,1,0.21,94.8,120.0,94.8,120.0
FRA 292,2023-04-19,OBJECTES VARIS TOCADOR,J.L. CASES,1,0.21,37.92,48.0,37.92,48.0
FRA 292,2023-04-19,BARRET M. NARBON,J.L. CASES,1,0.21,19.75,25.0,19.75,25.0
FRA 292,2023-04-19,FALDÓ ARTESANIA,J.L. CASES,1,0.21,14.22,18.0,14.22,18.0
FRA 292,2023-04-19,MOBLES PINTATS A MÀ (5 PCS),J.L. CASES,1,0.21,173.8,220.0,173.8,220.0
FRA 292,2023-04-19,TOVALLOLA ARTESANA,J.L. CASES,1,0.21,9.48,12.0,9.48,12.0
FRA 292,2023-04-19,CADIRA PINTADA A MÀ,J.L. CASES,1,0.21,11.06,14.0,11.06,14.0
FRA 292,2023-04-19,CUBELL ROBA BRUTA ARTESANIA,J.L. CASES,1,0.21,30.02,38.0,30.02,38.0
FRA 292,2023-04-19,ESCOBILLERO,J.L. CASES,1,0.21,11.06,14.0,11.06,14.0
FRA 292,2023-04-19,ALFOMBRA ARTESANIA,J.L. CASES,1,0.21,31.6,40.0,31.6,40.0
FRA 292,2023-04-19,SABATILLES,J.L. CASES,1,0.21,9.48,12.0,9.48,12.0
FRA 292,2023-04-19,BARNÚS,J.L. CASES,1,0.21,9.48,12.0,9.48,12.0
FRA 292,2023-04-19,CONJUNT MOBLES (5 PCS) + BARRAS I SUPORTS,J.L. CASES,1,0.21,150.1,190.0,150.1,190.0
FRA 292,2023-04-19,COTXET VESTIT,J.L. CASES,1,0.21,47.4,60.0,47.4,60.0
FRA 292,2023-04-19,NENA,J.L. CASES,1,0.21,55.3,70.0,55.3,70.0
FRA 292,2023-04-19,VESTIT + PENJADOR,J.L. CASES,1,0.21,11.06,14.0,11.06,14.0
FRA 292,2023-04-19,PLANTA ARTESANIA,J.L. CASES,1,0.21,47.4,60.0,47.4,60.0
FRA 292,2023-04-19,SR. MARIA NARBON,J.L. CASES,1,0.21,134.3,170.0,134.3,170.0
FRA 292,2023-04-19,ESCOMBRA + RECOLLIDOR,J.L. CASES,1,0.21,9.48,12.0,9.48,12.0
FRA 292,2023-04-19,SAFATA PLATA AMB VERDURES,J.L. CASES,1,0.21,37.92,48.0,37.92,48.0
FRA 292,2023-04-19,SAFATA I JOC DOS TASES I PLATS,J.L. CASES,1,0.21,23.7,30.0,23.7,30.0
FRA 292,2023-04-19,TETERA COURE,J.L. CASES,1,0.21,7.9,10.0,7.9,10.0
FRA 292,2023-04-19,ESTRIS CUINA PENJATS COURE,J.L. CASES,1,0.21,20.54,26.0,20.54,26.0
FRA 292,2023-04-19,PAELLA OUS I BACON,J.L. CASES,1,0.21,30.02,38.0,30.02,38.0
FRA 292,2023-04-19,OLLES COURE (2+2),J.L. CASES,1,0.21,23.7,30.0,23.7,30.0
FRA 292,2023-04-19,FUSTA+GANIVET+TROS CARN,J.L. CASES,1,0.21,27.65,35.0,27.65,35.0
FRA 292,2023-04-19,EMBOTITS,J.L. CASES,1,0.21,39.5,50.0,39.5,50.0
FRA 292,2023-04-19,CONJUNT MOBLES (5 PCS),J.L. CASES,1,0.21,130.35,165.0,130.35,165.0
FRA 291,2023-04-19,"DF810 ESCALA EN ""V""",STREETS AHEAD,1,0.21,4.27,5.4,4.27,5.4
FRA 291,2023-04-19,DIY637 TANCA,STREETS AHEAD,1,0.21,3.16,4.0,3.16,4.0
FRA 291,2023-04-19,MANIQUI NEN,MCQUEENIE,1,0.21,9.48,12.0,9.48,12.0
FRA 291,2023-04-19,BET108 TAULA HALL,STREETS AHEAD,1,0.21,4.98,6.3,4.98,6.3
FRA 291,2023-04-19,LLISTÓ MARC,CREAL,1,0.21,2.13,2.7,2.13,2.7
FRA 291,2023-04-19,71551 CASETA OCELL,CREAL,1,0.21,0.79,1.0,0.79,1.0
FRA 291,2023-04-19,TEST LLARG BLANC PLE,CREAL,1,0.21,7.11,9.0,7.11,9.0
FRA 291,2023-04-19,CENTRE FLORS LILES,CREAL,1,0.21,5.45,6.9,5.45,6.9
FRA 291,2023-04-19,DP304 NENA,STREETS AHEAD,1,0.21,6.24,7.9,6.24,7.9
FRA 291,2023-04-19,MÁSCARA,ROSA,3,0.21,6.32,8.0,18.96,24.0
FRA 290,2003-04-19,BOSSA ,BOSSES,1,0.21,0.16,0.2,0.16,0.2
FRA 290,2003-04-19,79302 DIORAMA DE 36 CM.,CREAL,1,0.21,28.84,36.5,28.84,36.5
FRA 290,2003-04-19,76230 CANELOBRE,CREAL,2,0.21,3.71,4.7,7.43,9.4
FRA 290,2003-04-19,75402 RETRAT,CREAL,1,0.21,1.26,1.6,1.26,1.6
FRA 290,2003-04-19,75401 RETRAT,CREAL,1,0.21,1.26,1.6,1.26,1.6
FRA 290,2003-04-19,391670 PEDESTAL,CREAL,1,0.21,11.85,15.0,11.85,15.0
FRA 290,2003-04-19,LLAR DE FOC,STOCK DRAP,1,0.21,20.54,26.0,20.54,26.0
FRA 290,2003-04-19,ANGELET,CREAL,1,0.21,1.03,1.3,1.03,1.3
FRA 289,2023-04-19,BOLSAS VARIAS,BOSSES,1,0.21,1.19,1.5,1.19,1.5
FRA 289,2023-04-19,DIY786A,STREETS AHEAD,2,0.21,5.06,6.4,10.11,12.8
FRA 289,2023-04-19,DIY766A,STREETS AHEAD,1,0.21,3.95,5.0,3.95,5.0
FRA 289,2023-04-19,BEF184,STREETS AHEAD,1,0.21,5.53,7.0,5.53,7.0
FRA 289,2023-04-19,6283 HOJAS,CREAL,1,0.21,3.87,4.9,3.87,4.9
FRA 289,2023-04-19,6241 HOJAS,CREAL,1,0.21,1.98,2.5,1.98,2.5
FRA 289,2023-04-19,621750 HOJAS,CREAL,1,0.21,4.98,6.3,4.98,6.3
FRA 289,2023-04-19,6239 HOJAS,CREAL,1,0.21,3.56,4.5,3.56,4.5
FRA 289,2023-04-19,APARADOR COMEDOR,ALLAU,1,0.21,35.55,45.0,35.55,45.0
FRA 289,2023-04-19,TELÉFONO PARET,STREETS AHEAD,1,0.21,3.95,5.0,3.95,5.0
FRA 289,2023-04-19,84503,CREAL,1,0.21,1.34,1.7,1.34,1.7
FRA 289,2023-04-19,75132 POLVERA,CREAL,1,0.21,1.98,2.5,1.98,2.5
FRA 289,2023-04-19,79789 GANCHOS,CREAL,1,0.21,4.27,5.4,4.27,5.4
FRA 289,2023-04-19,HER11,JACOMINIS,1,0.21,3.12,3.95,3.12,3.95
FRA 289,2023-04-19,G7353,AZTEC,1,0.21,3.32,4.2,3.32,4.2
FRA 289,2023-04-19,D1715,STREETS AHEAD,1,0.21,2.69,3.4,2.69,3.4
FRA 289,2023-04-19,72455,CREAL,1,0.21,1.66,2.1,1.66,2.1
FRA 289,2023-04-19,FA70801,AZTEC,1,0.21,5.53,7.0,5.53,7.0
FRA 289,2023-04-19,719982 ESQUIS,CREAL,1,0.21,6.56,8.3,6.56,8.3
FRA 289,2023-04-19,70785,CREAL,1,0.21,1.42,1.8,1.42,1.8
FRA 289,2023-04-19,70787,CREAL,1,0.21,1.82,2.3,1.82,2.3
FRA 289,2023-04-19,75764 PLANTA PRIMAVERA,CREAL,1,0.21,3.71,4.7,3.71,4.7
FRA 289,2023-04-19,797290 CONJ. GRIFOS Y SIFON,CREAL,1,0.21,2.21,2.8,2.21,2.8
FRA 289,2023-04-19,CESTA,CREAL,2,0.21,1.66,2.1,3.32,4.2
FRA 289,2023-04-19,GUITARRA ESPAÑOLA,STREETS AHEAD,1,0.21,14.22,18.0,14.22,18.0
FRA 289,2023-04-19,BAUL,STREETS AHEAD,1,0.21,3.95,5.0,3.95,5.0
FRA 289,2023-04-19,BOJ,STOCK DRAP,3,0.21,3.75,4.75,11.26,14.25
FRA 289,2023-04-19,FL02,JACOMINIS,1,0.21,10.59,13.4,10.59,13.4
FRA 289,2023-04-19,VIV 05,JACOMINIS,1,0.21,7.86,9.95,7.86,9.95
FRA 289,2023-04-19,IR20010,IRIGINALS,1,0.21,27.26,34.5,27.26,34.5
FRA 289,2023-04-19,18031,IRIGINALS,1,0.21,5.33,6.75,5.33,6.75
FRA 289,2023-04-19,18029,IRIGINALS,1,0.21,12.84,16.25,12.84,16.25
FRA 289,2023-04-19,18030,IRIGINALS,1,0.21,9.88,12.5,9.88,12.5
FRA 289,2023-04-19,19002,IRIGINALS,1,0.21,7.51,9.5,7.51,9.5
FRA 289,2023-04-19,19012,IRIGINALS,1,0.21,9.76,12.35,9.76,12.35
FRA 289,2023-04-19,2939 SETO,STREETS AHEAD,4,0.21,2.92,3.7,11.69,14.8
FRA 289,2023-04-19,CUADRO,WONHAM,1,0.21,3.71,4.7,3.71,4.7
FRA 289,2023-04-19,CUADRO,WONHAM,1,0.21,3.71,4.7,3.71,4.7
FRA 289,2023-04-19,CUADRO,WONHAM,1,0.21,3.71,4.7,3.71,4.7
FRA 289,2023-04-19,CUADRO,WONHAM,1,0.21,3.79,4.8,3.79,4.8
FRA 289,2023-04-19,CUADRO,WONHAM,1,0.21,3.56,4.5,3.56,4.5
FRA 289,2023-04-19,CUADRO,WONHAM,1,0.21,4.03,5.1,4.03,5.1
FRA 289,2023-04-19,MSC16 DOMINO,ALLAU,1,0.21,13.39,16.95,13.39,16.95
FRA 289,2023-04-19,4356 SET JARDIN 3 PCS,STREETS AHEAD,1,0.21,15.8,20.0,15.8,20.0
FRA 288,2023-04-19,BOSSA ,BOSSES,1,0.21,0.16,0.2,0.16,0.2
FRA 288,2023-04-19,79789 GANXOS,CREAL,1,0.21,4.27,5.4,4.27,5.4
FRA 288,2023-04-19,22090,VEGA,2,0.21,3.08,3.9,6.16,7.8
FRA 288,2023-04-19,3 TAULES AUX.,STREETS AHEAD,1,0.21,9.48,12.0,9.48,12.0
FRA 288,2023-04-19,22064,VEGA,1,0.21,6.24,7.9,6.24,7.9
FRA 288,2023-04-19,NYK 01,ALLAU,1,0.21,34.72,43.95,34.72,43.95
FRA 288,2023-04-19,NYK 03,ALLAU,1,0.21,22.08,27.95,22.08,27.95
FRA 288,2023-04-19,NYK 02,ALLAU,2,0.21,4.7,5.95,9.4,11.9
FRA 288,2023-04-19,NYK 05,ALLAU,1,0.21,14.18,17.95,14.18,17.95
FRA 288,2023-04-19,OSL 02,ALLAU,1,0.21,30.77,38.95,30.77,38.95
FRA 287,2023-04-18,ANGELETS ,CREAL,5,0.21,1.03,1.3,5.13,6.5
FRA 287,2023-04-18,ARCS I LLIBRERIA ALTA,ALLAU,1,0.21,74.26,94.0,74.26,94.0
FRA 287,2023-04-18,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 286,2023-04-18,BOSSA ,BOSSES,1,0.21,0.12,0.15,0.12,0.15
FRA 286,2023-04-18,ANGELET,CREAL,3,0.21,1.03,1.3,3.08,3.9000000000000004
FRA 286,2023-04-18,78097 3 ANGELETS,VEGA,1,0.21,2.77,3.5,2.77,3.5
FRA 286,2023-04-18,2594 REGLETA DE 12,CREAL,1,0.21,11.22,14.2,11.22,14.2
FRA 286,2023-04-18,CASA HOLANDESA 5,SCRAP NOLI,1,0.21,15.8,20.0,15.8,20.0
FRA 285,2023-04-18,2658 DAMA,CREAL,1,0.21,8.85,11.2,8.85,11.2
FRA 285,2023-04-18,2632 BEBÉ BLAU,CREAL,1,0.21,3.79,4.8,3.79,4.8
FRA 285,2023-04-18,CENTRE TAULA VIDRE,VARIS,1,0.21,12.4,15.7,12.4,15.7
FRA 285,2023-04-18,24922 LAMPARA PARET,CREAL,2,0.21,10.59,13.4,21.17,26.8
FRA 285,2023-04-18,2498 RECANVI BOMB.,CREAL,1,0.21,5.37,6.8,5.37,6.8
FRA 285,2023-04-18,2595 LLADRE (X2),CREAL,1,0.21,4.42,5.6,4.42,5.6
FRA 284,2023-04-18,3ER. LLIBRE JACOMINIS,JACOMINIS,1,0.21,25.28,32.0,25.28,32.0
FRA 284,2023-04-18,FT 10-A,JACOMINIS,1,0.21,8.29,10.5,8.29,10.5
FRA 284,2023-04-18,VIV 11,JACOMINIS,1,0.21,9.44,11.95,9.44,11.95
FRA 284,2023-04-18,PEÇA FINESTRA GÜELL,ALLAU,1,0.21,11.06,14.0,11.06,14.0
FRA 284,2023-04-18,TIRA PANOT FLOR,ALLAU,3,0.21,22.91,29.0,68.73,87.0
FRA 284,2023-04-18,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 283,2023-04-18,LLETRES PASTISSERIA,ALLAU,1,0.21,6.32,8.0,6.32,8.0
FRA 283,2023-04-18,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 283,2023-04-18,MOBLE RACÓ CUINA EMPOTRADA,ALLAU,1,0.21,9.44,11.95,9.44,11.95
FRA 283,2023-04-18,CUINA EMPOTRADA,ALLAU,1,0.21,31.56,39.95,31.56,39.95
FRA 283,2023-04-18,HER 15 MONTAT,JACOMINIS,1,0.21,35.55,45.0,35.55,45.0
FRA 283,2023-04-18,HER 01,JACOMINIS,1,0.21,7.51,9.5,7.51,9.5
FRA 283,2023-04-18,VIV 13-B,JACOMINIS,1,0.21,7.86,9.95,7.86,9.95
FRA 283,2023-04-18,VIV 13-A,JACOMINIS,1,0.21,7.86,9.95,7.86,9.95
FRA 283,2023-04-18,2285 LAMP. SOSTRE,CREAL,1,0.21,14.62,18.5,14.62,18.5
FRA 283,2023-04-18,MOSALL,VARIS,3,0.21,2.45,3.1,7.35,9.3
FRA 283,2023-04-18,"LLISTÓ 1,5 X 1,5",VARIS,1,0.21,3.16,4.0,3.16,4.0
FRA 283,2023-04-18,22550,CREAL,2,0.21,2.37,3.0,4.74,6.0
FRA 282,2023-04-18,ROSA S. JORDI,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 282,2023-04-18,CISTELLA ROSES,ANA,2,0.21,6.24,7.9,12.48,15.8
FRA 282,2023-04-18,LLIBRE PETIT PRÍNCEP,OLGA,1,0.21,15.8,20.0,15.8,20.0
FRA 282,2023-04-18,24934 LAMP. SOSTRE,CREAL,1,0.21,9.88,12.5,9.88,12.5
FRA 282,2023-04-18,AMERICANA,CHOPO,1,0.21,3.63,4.6,3.63,4.6
FRA 282,2023-04-18,79302 DIORAMA DE 36 CM.,CREAL,1,0.21,28.84,36.5,28.84,36.5
FRA 281,2023-04-17,2213 FANAL LED,CREAL,2,0.21,17.14,21.7,34.29,43.4
FRA 280,2023-04-17,CONJ. BANY,VEGA,1,0.21,15.8,20.0,15.8,20.0
FRA 279,2023-04-17,TAULA PREPARACIÓ,VEGA,1,0.21,11.06,14.0,11.06,14.0
FRA 278,2023-04-14,VENDES,ANA,5,0.21,-2.37,-3.0,-11.85,-15.0
FRA 278,2023-04-14,GERRO JAPONÉS,CAROL,1,0.21,4.35,5.5,4.35,5.5
FRA 278,2023-04-14,D2201 PLATS,STREETS AHEAD,1,0.21,6.48,8.2,6.48,8.2
